trainId,trainNo,category,operator
7439012,22858,Passenger,Private
3504697,8034,Local,Private
7425968,4403,Express,Private
7228377,12708,Express,Private
4952568,5711,Passenger,Private
6355529,5817,Express,Private
1011209,12885,Mail,Govt
3121923,12886,Passenger,Govt
3966075,19707,Local,Govt
7404593,19708,Local,Joint
7510053,12356,Local,Govt
7545941,12355,Superfast,Private
3646517,3560,Passenger,Private
8255223,12916,Superfast,Private
8897389,12915,Mail,Govt
2282451,3517,Local,Govt
3028000,12361,Passenger,Private
3114729,13509,Superfast,Joint
3769026,13507,Mail,Joint
4615912,3563,Express,Private
9128777,12376,Superfast,Private
4816784,3555,Passenger,Joint
1306539,3511,Superfast,Private
6558266,3557,Local,Govt
3709114,3516,Express,Private
8328072,19614,Superfast,Private
9325542,19612,Express,Govt
3527591,12242,Passenger,Joint
8117894,14154,Passenger,Joint
1747508,15934,Local,Joint
8813646,14632,Express,Private
6323345,54602,Superfast,Govt
4210672,12054,Superfast,Joint
3437090,13050,Mail,Joint
8170943,13006,Mail,Joint
8057335,19326,Local,Govt
4895797,19772,Mail,Joint
7552430,19782,Express,Private
6561376,12484,Express,Private
2512163,15708,Mail,Joint
2197035,12358,Express,Private
1543816,14616,Passenger,Joint
5858760,11058,Local,Private
3247941,12460,Superfast,Joint
1817871,12716,Mail,Govt
2195916,12422,Superfast,Govt
7039869,14002,Superfast,Govt
4317593,12953,Mail,Govt
6407922,57549,Passenger,Private
2050261,15910,Express,Govt
7347549,15610,Local,Govt
4834368,19040,Superfast,Govt
6335364,19037,Local,Govt
4284798,19039,Express,Joint
1124338,19038,Local,Joint
2112830,12962,Superfast,Private
7884168,12961,Mail,Private
8527533,17619,Local,Govt
1312714,7505,Mail,Private
8826659,17621,Express,Joint
8933092,7405,Superfast,Govt
9215006,14808,Local,Joint
6232062,4805,Superfast,Private
5532285,12129,Passenger,Private
1149133,12130,Local,Govt
8110616,12948,Superfast,Joint
4346200,12947,Mail,Joint
5130850,15665,Local,Joint
7433698,15666,Passenger,Joint
5294228,18450,Mail,Private
7602872,18449,Passenger,Joint
7215753,13019,Mail,Joint
8240889,13020,Passenger,Govt
8146913,12577,Local,Joint
4695775,12578,Mail,Private
1917885,74639,Local,Govt
3609062,19452,Superfast,Private
4792778,6347,Local,Govt
4228602,6542,Mail,Private
7535475,12785,Passenger,Private
5369452,12609,Mail,Private
1592423,6516,Local,Joint
2109233,16525,Express,Joint
7304356,16518,Local,Private
1251335,16524,Express,Govt
9086271,6590,Superfast,Private
8726707,16228,Passenger,Govt
2351858,17236,Mail,Govt
5151218,12678,Mail,Joint
4722636,16316,Mail,Govt
2883632,6029,Express,Private
6338215,12657,Local,Joint
7653977,56263,Express,Private
9559979,22607,Passenger,Joint
5144092,12683,Superfast,Joint
3837433,12494,Local,Joint
5922554,22694,Superfast,Joint
3815362,22692,Local,Private
5375132,13241,Mail,Joint
8072145,15694,Local,Govt
5860185,15693,Passenger,Private
4768591,14555,Local,Govt
3926691,14556,Local,Govt
8998134,14313,Local,Joint
5288915,14322,Superfast,Govt
5435478,28624,Local,Private
8088780,14888,Superfast,Govt
6661966,14805,Passenger,Private
6744799,17307,Mail,Private
2644812,17308,Superfast,Private
4991326,51029,Mail,Joint
4398081,18404,Express,Joint
8847106,12021,Express,Govt
2144580,12022,Passenger,Private
3512985,18415,Express,Private
1781985,12831,Express,Private
2012766,12892,Express,Joint
1645128,18437,Express,Joint
3788731,12830,Superfast,Private
1517930,1020,Express,Govt
8985932,12281,Mail,Private
3454020,12282,Local,Joint
2362632,12894,Superfast,Govt
4130253,12074,Passenger,Govt
8164782,12073,Superfast,Govt
8509830,12880,Mail,Govt
5952110,2815,Mail,Joint
6930972,22805,Passenger,Joint
4980133,12898,Passenger,Private
8722345,8449,Local,Govt
1175419,12582,Mail,Joint
9975416,22882,Passenger,Private
4678769,2882,Superfast,Joint
1980152,22811,Mail,Govt
6236213,22823,Express,Govt
3973566,18496,Passenger,Joint
4949749,18106,Passenger,Joint
7955481,22871,Superfast,Private
3489492,22879,Mail,Govt
3474799,2845,Local,Private
8893961,12845,Mail,Joint
4879017,9017,Mail,Joint
7070181,9007,Mail,Govt
9649027,12932,Express,Private
4900585,22210,Passenger,Private
9422439,12268,Mail,Private
3967955,12955,Express,Joint
2105621,4093,Passenger,Joint
5250831,9003,Mail,Govt
2909004,14209,Superfast,Govt
5311786,2904,Superfast,Private
8602953,22904,Express,Govt
7864991,9027,Express,Private
5791006,9642,Local,Private
3952484,12995,Mail,Joint
1517886,9620,Express,Govt
4502900,19065,Local,Private
3322250,19115,Passenger,Joint
3300032,9023,Superfast,Private
8429281,22474,Mail,Private
8368662,19203,Local,Joint
7900605,9231,Mail,Joint
8009982,19029,Express,Govt
8743411,12910,Superfast,Private
5391561,5034,Superfast,Govt
8939859,2534,Passenger,Govt
5044103,1654,Superfast,Govt
2375749,22915,Superfast,Joint
7976331,2915,Local,Joint
9157411,9301,Passenger,Joint
5837340,9029,Superfast,Private
2138195,11104,Local,Govt
6711328,22933,Passenger,Private
6450035,9732,Local,Joint
3953970,9033,Mail,Joint
9494333,19063,Superfast,Govt
6895351,9063,Superfast,Private
4170731,22931,Local,Govt
7746476,9045,Mail,Joint
5868056,9019,Local,Joint
1670897,22444,Superfast,Joint
1616529,19021,Express,Govt
4372114,9009,Local,Govt
3361629,12247,Express,Govt
5532684,9561,Local,Govt
1044378,19049,Local,Private
6273949,22935,Passenger,Govt
7937666,9011,Local,Private
3581725,9061,Passenger,Private
8307715,12907,Local,Private
6551762,12935,Local,Joint
2644996,14321,Passenger,Govt
9935584,14236,Passenger,Private
4559834,54077,Express,Govt
1941278,14320,Passenger,Govt
4778561,4314,Local,Joint
5394664,14308,Mail,Joint
3676829,14314,Express,Joint
1559907,4918,Superfast,Joint
8816298,12238,Local,Joint
6644393,12237,Passenger,Joint
2893092,18203,Superfast,Private
6767431,18204,Mail,Private
7977252,14803,Local,Govt
9917896,4803,Express,Govt
1983296,9054,Mail,Private
9200412,19066,Superfast,Private
5540983,18244,Mail,Govt
3830322,8244,Passenger,Govt
8278167,15623,Express,Private
3492385,5623,Express,Private
4126394,16863,Express,Govt
5709930,16533,Local,Private
4778586,16507,Local,Govt
8891502,18574,Local,Joint
8019966,11089,Passenger,Govt
3619912,7327,Passenger,Joint
5512963,22405,Local,Joint
7324383,13423,Passenger,Joint
8514933,3453,Local,Govt
4778735,12335,Mail,Govt
4274461,13410,Passenger,Govt
4915359,12349,Local,Private
8088190,3435,Local,Joint
6908398,18604,Mail,Govt
3847265,19048,Mail,Joint
1702145,8104,Passenger,Joint
1341366,12891,Superfast,Private
6789221,12336,Local,Private
3625478,13104,Local,Joint
7243981,13103,Mail,Govt
3329288,17233,Mail,Joint
8062876,17234,Superfast,Private
1903973,12971,Superfast,Joint
9954903,59208,Local,Joint
4048116,59828,Passenger,Govt
1442434,12155,Local,Joint
1910417,12156,Local,Private
2988620,59389,Passenger,Govt
3444125,12002,Passenger,Govt
5393915,13015,Mail,Joint
2272258,12846,Local,Govt
1266136,18495,Superfast,Private
3702955,12829,Local,Private
8866475,22903,Local,Govt
1595268,19116,Passenger,Private
4221175,9024,Passenger,Joint
1391861,9458,Mail,Joint
4566519,12960,Passenger,Private
7380743,11091,Superfast,Govt
7877425,22829,Express,Private
3522905,59013,Superfast,Joint
8108767,59075,Mail,Private
9737100,59077,Mail,Private
1905124,17009,Passenger,Joint
5138198,11076,Superfast,Joint
8852758,16572,Express,Joint
4637560,12565,Superfast,Private
9007674,12566,Passenger,Joint
8972564,6535,Superfast,Govt
9401879,22476,Superfast,Joint
6438342,6013,Local,Govt
7560962,16312,Passenger,Govt
9068678,18235,Passenger,Private
6250163,12852,Superfast,Joint
8151387,12442,Express,Joint
9279703,21126,Passenger,Private
6069834,59822,Local,Joint
6509221,51030,Express,Joint
3267639,5285,Passenger,Govt
7881002,15231,Mail,Govt
8668377,11123,Local,Joint
4601058,15203,Express,Joint
7026068,5231,Express,Joint
3350713,4021,Passenger,Govt
3091446,4701,Superfast,Govt
3087414,22631,Local,Joint
5277289,22473,Express,Govt
5442032,9008,Mail,Joint
6860098,4737,Local,Private
5728946,18246,Mail,Joint
7878420,8246,Local,Joint
7617245,22475,Express,Private
9782304,12489,Local,Joint
3767702,12458,Mail,Private
9319160,12456,Mail,Private
5807873,25631,Local,Govt
3032351,4735,Express,Private
8635075,22308,Mail,Joint
7426008,22472,Passenger,Govt
7452032,12467,Passenger,Private
6007085,14702,Passenger,Govt
9514928,16311,Local,Govt
2408163,12495,Mail,Private
1355389,22632,Passenger,Private
7743689,6014,Passenger,Joint
7300048,17624,Mail,Private
1553960,7038,Express,Private
3735955,4739,Mail,Govt
2199295,14709,Passenger,Govt
8286690,4741,Local,Govt
1624826,17038,Mail,Joint
1419239,4732,Local,Joint
9047397,16588,Passenger,Joint
4966810,2692,Passenger,Joint
7487944,6588,Mail,Govt
7120797,58014,Superfast,Private
6047255,9053,Express,Joint
8937203,22909,Passenger,Joint
9313531,12583,Local,Joint
9962763,4738,Passenger,Private
3178415,12911,Superfast,Private
3292758,19055,Superfast,Joint
1099602,19052,Passenger,Joint
9203999,9057,Passenger,Joint
7334169,22387,Superfast,Private
6885586,22388,Express,Govt
4628950,12893,Express,Joint
8203118,13064,Passenger,Govt
7153243,13162,Local,Govt
7925055,4973,Local,Private
3238242,15631,Passenger,Joint
5014954,24888,Superfast,Joint
3499392,14806,Express,Joint
5744323,2509,Passenger,Govt
6460307,2353,Local,Private
9346516,2659,Express,Joint
9621361,2657,Mail,Joint
2871437,4724,Passenger,Private
2210579,3174,Superfast,Private
5690581,57129,Superfast,Private
1636967,13137,Express,Private
6541046,13118,Passenger,Private
4656560,22186,Express,Private
2904953,13026,Passenger,Private
2799590,59390,Superfast,Joint
3244989,12198,Express,Private
9220951,19712,Mail,Govt
9287639,54811,Local,Govt
9287651,7620,Local,Govt
5936582,1683,Local,Govt
9050464,12183,Local,Private
7507060,2183,Local,Govt
2489298,59320,Passenger,Govt
8580365,51196,Mail,Private
6776613,14056,Local,Joint
5434618,14055,Passenger,Govt
4358591,19129,Express,Private
2735968,9457,Local,Joint
6168551,9058,Local,Joint
4719523,12639,Superfast,Joint
5225613,12640,Mail,Govt
7386291,51452,Passenger,Private
7036822,19408,Passenger,Govt
9076412,22407,Local,Govt
6256638,14235,Local,Joint
9860043,4911,Express,Govt
5644422,4505,Express,Private
1957440,4503,Local,Govt
9749423,1030,Local,Govt
2334614,1028,Local,Govt
4242314,14265,Express,Private
5292630,4931,Passenger,Govt
6510958,4203,Passenger,Joint
3288788,4205,Passenger,Joint
7655099,22408,Passenger,Joint
7091915,14213,Superfast,Joint
7573165,5652,Mail,Joint
9173551,13346,Express,Govt
6614102,21108,Local,Private
6737842,14219,Mail,Govt
4094173,14203,Superfast,Joint
2123369,2070,Mail,Joint
7728045,1056,Passenger,Private
6998782,12168,Local,Govt
4744103,12166,Superfast,Private
2518085,16230,Passenger,Govt
6691125,2682,Express,Govt
4360255,6230,Express,Joint
9051785,4433,Mail,Private
9933891,19570,Passenger,Private
7760449,2069,Mail,Govt
8208643,14260,Express,Private
4346040,18612,Superfast,Private
9476984,18312,Express,Private
6178445,13134,Passenger,Joint
7135026,1075,Express,Private
9656888,19058,Mail,Private
1974877,22111,Passenger,Joint
2911008,11025,Express,Joint
9558530,59076,Mail,Joint
7823603,18243,Mail,Private
6127549,8243,Local,Private
7146236,18245,Mail,Govt
1356535,8245,Local,Govt
9052826,18236,Express,Private
7091519,58219,Superfast,Private
6323548,22815,Express,Private
6134940,22940,Passenger,Joint
5140512,9536,Mail,Private
4227828,12856,Express,Private
4596364,1754,Mail,Private
2010467,1756,Local,Joint
8604510,12851,Mail,Joint
8121370,12441,Mail,Govt
8414338,22843,Express,Private
8674022,12849,Local,Joint
8842982,58229,Local,Govt
7095250,58114,Mail,Private
8907973,22619,Superfast,Govt
2627568,17481,Local,Govt
9823829,117,Express,Govt
5858102,58871,Local,Govt
5011632,58865,Superfast,Private
2264380,4974,Local,Private
4227217,14501,Superfast,Joint
2178906,19225,Local,Private
7796954,54701,Express,Govt
3775243,12048,Superfast,Joint
3060838,22812,Local,Govt
3941178,22824,Mail,Joint
1682914,15109,Superfast,Govt
1783330,14223,Passenger,Joint
9148851,15110,Local,Govt
8373337,14224,Mail,Govt
7542333,13106,Express,Joint
9255956,11107,Passenger,Private
4224141,11108,Superfast,Joint
9439776,12941,Express,Private
7680167,12972,Express,Govt
3068523,19204,Mail,Joint
2095865,9232,Passenger,Joint
8874481,59272,Superfast,Joint
5482191,17203,Express,Private
3670925,19260,Express,Private
9290641,59207,Passenger,Govt
6805358,59230,Local,Joint
8261028,18438,Express,Private
1919250,59806,Express,Private
4958721,2714,Local,Govt
7443768,56504,Local,Joint
2183798,12796,Passenger,Govt
2621419,7213,Superfast,Govt
1126749,7219,Express,Private
6273159,7207,Superfast,Private
1705678,7209,Mail,Govt
4454993,17208,Superfast,Govt
7286944,12823,Passenger,Joint
8826787,16313,Superfast,Private
6116458,16305,Passenger,Private
8272483,16307,Mail,Govt
1293550,12666,Express,Govt
7027073,16382,Mail,Joint
2882635,22622,Passenger,Govt
7896829,12790,Mail,Govt
1882569,13246,Passenger,Private
4456715,13245,Express,Private
7176576,12969,Express,Private
4021706,6626,Passenger,Joint
9928088,604,Express,Joint
4259646,606,Superfast,Govt
8721468,6610,Mail,Govt
1999933,16612,Mail,Govt
5668328,7239,Mail,Govt
4174260,7201,Local,Govt
5455312,2775,Mail,Govt
6275696,17206,Passenger,Govt
1858414,17204,Passenger,Private
9268784,7338,Local,Private
1245514,7211,Superfast,Joint
9299919,2737,Express,Joint
4453313,19308,Mail,Joint
7236179,13256,Passenger,Govt
7110666,12984,Mail,Govt
7907700,2411,Passenger,Private
4778323,12241,Local,Private
7073509,22452,Superfast,Joint
5017845,4912,Express,Private
8718697,4504,Passenger,Govt
1738304,5904,Superfast,Joint
4474702,15904,Passenger,Private
8902040,9304,Mail,Private
9138414,19718,Superfast,Govt
5788814,4502,Superfast,Joint
7509723,15012,Passenger,Joint
2149086,12232,Superfast,Private
4428041,22688,Passenger,Private
1191303,12046,Passenger,Govt
6604961,15032,Passenger,Joint
1968643,5056,Local,Govt
7757525,4511,Mail,Private
6659909,22451,Express,Private
5487768,11022,Local,Joint
3367762,11006,Express,Govt
7335681,12175,Local,Private
3801498,12177,Express,Joint
5181126,12176,Mail,Joint
5341046,12178,Superfast,Govt
4600057,16215,Express,Private
4725067,16216,Superfast,Joint
6950616,19307,Mail,Govt
5691252,9303,Passenger,Joint
6840643,12759,Mail,Joint
5939565,12760,Mail,Joint
7293585,18237,Passenger,Private
3354322,15004,Local,Joint
4507365,15003,Express,Private
5189736,58222,Express,Private
5178449,16615,Express,Joint
1149446,16616,Express,Joint
4066475,6060,Superfast,Joint
8421145,6346,Passenger,Govt
7650185,6348,Local,Joint
7733789,6340,Local,Private
1706337,6616,Passenger,Govt
4644805,6604,Local,Joint
9298727,6608,Express,Joint
2070441,6606,Mail,Private
4017586,12604,Local,Govt
4099399,6062,Local,Joint
3477032,12686,Passenger,Govt
7155447,6084,Local,Private
5188014,6338,Superfast,Joint
1966999,16176,Express,Govt
2276852,6624,Mail,Private
7022857,12668,Express,Private
9621525,12682,Express,Joint
7039852,12164,Passenger,Govt
9637422,6316,Local,Govt
3054335,6082,Mail,Private
9560970,6006,Mail,Private
3012505,6040,Local,Joint
5256872,6016,Superfast,Joint
8031740,6004,Superfast,Govt
2710359,6018,Passenger,Govt
5239123,6804,Passenger,Govt
5198466,6008,Passenger,Private
5843721,6706,Passenger,Joint
4810092,6042,Local,Govt
2537339,6749,Local,Govt
1225086,6012,Superfast,Private
9436925,22640,Passenger,Joint
6105629,56101,Passenger,Govt
8995434,12680,Passenger,Private
4625798,22624,Local,Govt
5263436,12163,Superfast,Joint
7131707,16102,Mail,Private
7433257,12794,Express,Joint
7522973,6022,Local,Govt
1850986,22681,Superfast,Joint
4131562,16854,Passenger,Joint
9128660,6750,Express,Joint
3736131,12610,Local,Govt
5399117,12692,Local,Private
5458084,6056,Express,Joint
6682019,6748,Superfast,Joint
7718671,6058,Mail,Joint
8348871,11074,Passenger,Govt
2009771,12624,Local,Joint
4878857,12602,Local,Private
9009961,11027,Express,Govt
3076542,12658,Express,Govt
2397053,12434,Express,Govt
4995838,12674,Passenger,Govt
4809079,12673,Mail,Govt
8493405,12981,Express,Joint
4911670,12982,Express,Private
4024776,11059,Passenger,Private
1834990,18238,Superfast,Joint
9965788,15205,Local,Private
8842738,15206,Local,Private
3512895,15010,Local,Govt
4158031,58220,Passenger,Private
7374892,58221,Superfast,Private
3667779,51754,Express,Private
6850511,12824,Express,Private
8259021,17643,Express,Govt
3694585,17644,Express,Private
9675055,18403,Local,Private
5834341,58012,Passenger,Private
1781032,14151,Local,Joint
3600349,14153,Express,Private
5233167,22443,Local,Joint
4336772,4723,Local,Private
5270111,4153,Mail,Private
5639868,12210,Express,Govt
5464814,22441,Superfast,Private
8564392,12469,Express,Private
9361325,2451,Superfast,Private
2179340,12033,Local,Govt
5230245,14155,Local,Joint
7837787,17221,Superfast,Private
2872042,12339,Passenger,Private
3748924,12340,Mail,Joint
5323630,12775,Express,Private
1717736,12776,Mail,Govt
2934304,6618,Express,Joint
6446833,6009,Mail,Joint
9740979,16609,Local,Joint
3882565,6615,Mail,Private
1414696,16617,Express,Joint
5244833,6605,Local,Private
6806292,6603,Superfast,Private
4422070,16613,Local,Private
3319355,12681,Express,Joint
7094625,6037,Mail,Private
6731087,6607,Local,Joint
8807663,6039,Local,Joint
1362745,12679,Mail,Joint
7062118,11013,Passenger,Joint
2011509,25014,Superfast,Govt
5900290,12841,Superfast,Private
6166113,12842,Mail,Joint
3060102,5103,Mail,Joint
1829468,15115,Express,Private
6835409,15117,Express,Private
3086377,15106,Local,Joint
8798883,15112,Local,Private
5892455,5143,Mail,Private
7867125,15053,Mail,Private
5323340,5065,Superfast,Govt
8944644,5115,Local,Govt
1671118,11060,Mail,Private
8890607,15107,Mail,Private
6741807,18182,Mail,Private
6806413,8182,Express,Govt
4278089,1065,Mail,Govt
8835790,2004,Local,Govt
5316793,12111,Local,Govt
3400764,12362,Local,Joint
1993907,1027,Superfast,Govt
1059786,1079,Mail,Govt
8303489,11041,Mail,Joint
1273569,51034,Superfast,Joint
7254290,1034,Local,Joint
7429990,2187,Superfast,Govt
1590181,2083,Local,Private
9298315,1087,Mail,Private
9654597,2041,Superfast,Govt
3938692,2171,Superfast,Joint
5962328,1701,Express,Joint
9404648,4154,Mail,Joint
3691952,22107,Express,Private
9052818,1051,Superfast,Private
9409844,1033,Passenger,Joint
4941379,1211,Mail,Private
1457750,1013,Passenger,Govt
6038555,2008,Express,Private
3035391,2702,Superfast,Private
7836992,2002,Mail,Private
5534070,11305,Passenger,Joint
8356072,12959,Local,Govt
8658271,22629,Passenger,Joint
8297674,12722,Local,Joint
6950795,12351,Passenger,Private
3078438,12352,Mail,Private
7873052,11065,Express,Private
3316152,5288,Local,Govt
9770699,11033,Local,Govt
5932974,12343,Passenger,Private
8454227,12344,Mail,Private
9226716,14035,Local,Govt
4558604,57515,Mail,Govt
6709133,12182,Mail,Govt
2472568,12181,Passenger,Private
2878559,5818,Superfast,Govt
1840867,5917,Passenger,Private
4048341,15817,Superfast,Private
1473443,5237,Express,Private
6892536,5213,Mail,Joint
1942999,4409,Mail,Joint
2651153,4023,Local,Private
9859311,15236,Local,Joint
2880464,17006,Express,Private
4036133,15234,Local,Govt
4564470,11066,Local,Private
5363459,2050,Passenger,Private
7122533,4410,Mail,Private
6102792,11034,Passenger,Private
9712328,17008,Mail,Govt
5663358,5287,Express,Joint
4892878,5942,Express,Govt
2964357,15905,Local,Joint
9024916,15933,Express,Private
1075928,15903,Local,Govt
9448188,5903,Mail,Private
9436774,5918,Superfast,Private
8867412,5970,Local,Private
3820378,15942,Passenger,Private
8157200,12526,Local,Private
4127379,15930,Superfast,Private
9815578,12235,Mail,Private
4835139,15928,Local,Govt
3553393,5968,Passenger,Govt
1722239,15902,Passenger,Joint
2143862,12424,Mail,Govt
1302693,12435,Passenger,Private
7476641,12423,Superfast,Private
3488370,14631,Mail,Private
8636485,14266,Local,Joint
7404164,15006,Passenger,Private
8105065,14318,Express,Govt
1480468,12055,Superfast,Joint
8271982,12288,Local,Joint
5530505,22660,Local,Joint
4009289,14120,Express,Govt
6552241,12688,Mail,Private
3609811,15002,Passenger,Govt
4541601,12490,Superfast,Govt
3684968,4728,Passenger,Joint
7557840,11007,Passenger,Private
4310099,11008,Superfast,Govt
6898981,12123,Mail,Joint
1969347,12124,Local,Govt
4954073,9418,Local,Private
9165166,22920,Passenger,Govt
7928250,9628,Passenger,Joint
7190901,19030,Mail,Joint
3820455,12215,Express,Joint
3726121,12457,Passenger,Joint
3016470,12455,Express,Private
1219088,12985,Express,Govt
8806757,22985,Passenger,Private
6815671,12216,Mail,Joint
7789416,22471,Mail,Joint
7850537,14626,Express,Private
1338920,12265,Superfast,Govt
4385152,9706,Superfast,Joint
7821627,22482,Superfast,Govt
6202048,19264,Express,Private
3219087,9742,Express,Private
6000417,19580,Passenger,Joint
3045944,9580,Superfast,Joint
5927482,14812,Local,Joint
7960603,14705,Mail,Private
